top - 21:16:44 up 11:51,  2 users,  load average: 1.02, 0.92, 0.93
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.5 us,  0.7 sy,  0.0 ni, 96.0 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   1548732 total,  1439024 used,   109708 free,     5256 buffers
KiB Swap:  1657852 total,   581928 used,  1075924 free.   305604 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3673 tranquil  20   0  504928   1036    524 S   0.0  0.1   0:00.35 update-notifier
 3926 tranquil  20   0  289972    656    196 S   0.0  0.0   0:00.17 deja-dup-monito
 5997 root      20   0       0      0      0 S   0.0  0.0   0:00.44 kworker/2:1
 6210 tranquil  20   0  400108   8736    384 S   0.0  0.6   0:01.89 notify-osd
11875 tranquil  20   0    7384      0      0 S   0.0  0.0   0:00.00 cat
11876 tranquil  20   0    7384      0      0 S   0.0  0.0   0:00.00 cat
11879 tranquil  20   0  354872   3892   1628 S   0.0  0.3   0:00.08 chrome
11880 tranquil  20   0   87644    680    676 S   0.0  0.0   0:00.00 nacl_helper
11883 tranquil  20   0  363068   3312    912 S   0.0  0.2   0:00.04 chrome
11901 tranquil  20   0  795380 151288  75504 S   0.0  9.8   3:38.13 chrome
11908 tranquil  20   0  367132   1024    524 S   0.0  0.1   0:00.00 chrome
11929 root      20   0       0      0      0 S   0.0  0.0   0:00.10 kworker/1:2
12089 tranquil  20   0 1086192 108696   4972 S   0.0  7.0   5:18.09 chrome
12745 root      20   0   87544    200    200 S   0.0  0.0   0:00.02 cupsd
12750 lp        20   0   64132    160    160 S   0.0  0.0   0:00.00 dbus
12751 lp        20   0   64132    112    112 S   0.0  0.0   0:00.00 dbus
12769 tranquil  20   0  825444  16336   3008 S   0.0  1.1   0:04.26 chrome
12889 root      20   0       0      0      0 S   0.0  0.0   0:01.94 kworker/3:1
13498 tranquil  20   0  112160      0      0 S   0.0  0.0   0:00.03 gvfsd-metadata
13694 root      20   0       0      0      0 S   0.0  0.0   0:02.94 kworker/u16:2
13928 tranquil  20   0 1481464  18008   3888 S   0.0  1.2   0:08.94 sublime_text
13942 tranquil  20   0  112852   3488      0 S   0.0  0.2   0:00.82 plugin_host
14024 tranquil  20   0  620136   8596   3836 S   0.0  0.6   0:09.70 gnome-terminal-
14034 tranquil  20   0   14852    296    292 S   0.0  0.0   0:00.00 gnome-pty-helpe
14035 tranquil  20   0  177172    452    448 S   0.0  0.0   0:00.06 fish
14037 tranquil  20   0   17900    228    136 S   0.0  0.0   0:00.02 fishd
14057 tranquil  20   0   18704    364    328 S   0.0  0.0   0:00.00 tmux
14059 tranquil  20   0   27664   1500    904 S   0.0  0.1   0:26.99 tmux
14060 tranquil  20   0  455812   2716   2052 S   0.0  0.2   0:01.20 fish
14069 tranquil  20   0  177240   1148    700 S   0.0  0.1   0:00.29 fish
15072 root      20   0       0      0      0 S   0.0  0.0   0:01.52 kworker/u16:1
15843 tranquil  20   0  183796    468     84 S   0.0  0.0   0:00.00 unity-webapps-s
16212 tranquil  20   0  775248  49644   4092 S   0.0  3.2   0:00.60 chrome
16233 tranquil  20   0  984312 210220  33628 S   0.0 13.6   0:57.96 chrome
16266 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:1
16267 root      20   0       0      0      0 S   0.0  0.0   0:00.08 kworker/0:3
16395 root      20   0       0      0      0 S   0.0  0.0   0:00.06 kworker/1:0
16516 root      20   0   23464   7372    548 S   0.0  0.5   0:00.00 dhclient
16709 root      20   0       0      0      0 S   0.0  0.0   0:00.10 kworker/2:0
16733 root      20   0       0      0      0 S   0.0  0.0   0:00.04 kworker/3:2
16742 root      20   0   56892   1180    600 S   0.0  0.1   0:00.02 sudo
16743 root      20   0   20560   1144    408 S   0.0  0.1   0:08.89 openvpn
